######################################################
#             2D Heat Conduction Solver              #
#              Created by J. Mark Epps               #
#          Part of Masters Thesis at UW 2018-2020    #
######################################################

Reading input file...
################################
Initializing geometry package...
################################
Initializing MPI and solver...
################################
Initializing domain...
################################
Saving input file to output directory...
################################

Saving data to numpy array files...
Solving:
Time step 23300, Step size=0.0000024ms, Time elapsed=0.000055s;
Time step 23400, Step size=0.0000024ms, Time elapsed=0.000056s;
Time step 23500, Step size=0.0000024ms, Time elapsed=0.000056s;
Time step 23600, Step size=0.0000024ms, Time elapsed=0.000056s;
Time step 23700, Step size=0.0000024ms, Time elapsed=0.000056s;
Time step 23800, Step size=0.0000024ms, Time elapsed=0.000056s;
Time step 23900, Step size=0.0000024ms, Time elapsed=0.000057s;
Time step 24000, Step size=0.0000024ms, Time elapsed=0.000057s;
Time step 24100, Step size=0.0000024ms, Time elapsed=0.000057s;
Time step 24200, Step size=0.0000024ms, Time elapsed=0.000057s;
Time step 24300, Step size=0.0000024ms, Time elapsed=0.000058s;
Time step 24400, Step size=0.0000024ms, Time elapsed=0.000058s;
Time step 24500, Step size=0.0000024ms, Time elapsed=0.000058s;
Time step 24600, Step size=0.0000024ms, Time elapsed=0.000058s;
Time step 24700, Step size=0.0000024ms, Time elapsed=0.000059s;
Time step 24800, Step size=0.0000024ms, Time elapsed=0.000059s;
Time step 24900, Step size=0.0000024ms, Time elapsed=0.000059s;
Time step 25000, Step size=0.0000024ms, Time elapsed=0.000059s;
Time step 25100, Step size=0.0000024ms, Time elapsed=0.000060s;
Time step 25200, Step size=0.0000024ms, Time elapsed=0.000060s;
Time step 25300, Step size=0.0000024ms, Time elapsed=0.000060s;
Time step 25400, Step size=0.0000024ms, Time elapsed=0.000060s;
Time step 25500, Step size=0.0000024ms, Time elapsed=0.000061s;
Time step 25600, Step size=0.0000024ms, Time elapsed=0.000061s;
Time step 25700, Step size=0.0000024ms, Time elapsed=0.000061s;
Time step 25800, Step size=0.0000024ms, Time elapsed=0.000061s;
Time step 25900, Step size=0.0000024ms, Time elapsed=0.000061s;
Time step 26000, Step size=0.0000024ms, Time elapsed=0.000062s;
Time step 26100, Step size=0.0000024ms, Time elapsed=0.000062s;
Time step 26200, Step size=0.0000024ms, Time elapsed=0.000062s;
Time step 26300, Step size=0.0000024ms, Time elapsed=0.000062s;
Time step 26400, Step size=0.0000024ms, Time elapsed=0.000063s;
Time step 26500, Step size=0.0000024ms, Time elapsed=0.000063s;
Time step 26600, Step size=0.0000024ms, Time elapsed=0.000063s;
Time step 26700, Step size=0.0000024ms, Time elapsed=0.000063s;
Time step 26800, Step size=0.0000024ms, Time elapsed=0.000064s;
Time step 26900, Step size=0.0000024ms, Time elapsed=0.000064s;
Time step 27000, Step size=0.0000024ms, Time elapsed=0.000064s;
Time step 27100, Step size=0.0000024ms, Time elapsed=0.000064s;
Time step 27200, Step size=0.0000024ms, Time elapsed=0.000065s;
Time step 27300, Step size=0.0000024ms, Time elapsed=0.000065s;
Time step 27400, Step size=0.0000024ms, Time elapsed=0.000065s;
Time step 27500, Step size=0.0000024ms, Time elapsed=0.000065s;
Time step 27600, Step size=0.0000024ms, Time elapsed=0.000066s;
Time step 27700, Step size=0.0000024ms, Time elapsed=0.000066s;
Time step 27800, Step size=0.0000024ms, Time elapsed=0.000066s;
Time step 27900, Step size=0.0000024ms, Time elapsed=0.000066s;
